Fix Time,Latitude,Longitude,Altitude,Speed,COG (deg),HDOP,VDOP,PDOP,Satellite Count,Time to Fix,Error,Nav. Type,Activity,Battery (V),Charge (V),Solar Current (mA),Temp (C)
2023-09-12T01:40:26.000Z,45.05626,-67.10818,49,0.28,0,0.68,0.95,1.17,12,9,0,3,41,3.994,0,0,34,
2023-09-12T01:55:36.000Z,45.05604,-67.10771,19,0.12,0,0.66,0.97,1.17,12,9,0,3,0,3.994,0,0,35,
2023-09-12T02:10:45.000Z,45.05643,-67.1071,-2,0.11,0,0.73,1.08,1.26,12,8,0,3,0,3.991,0,0,34,
2023-09-12T02:25:55.000Z,45.05615,-67.1074,-7,0.16,0,0.82,1.54,1.74,12,9,0,3,0,3.99,0,0,34,
2023-09-12T02:41:06.000Z,45.05626,-67.1076,-10,0.15,0,0.79,1.37,1.58,12,10,0,3,0,3.992,0,0,34,
2023-09-12T02:56:16.000Z,45.05535,-67.10664,-4,0.15,0,0.61,1.17,1.33,12,9,0,3,0,3.991,0,0,34,
2023-09-12T03:11:26.000Z,45.05617,-67.10818,-1,6.68,329,0.6,0.95,1.11,12,9,0,3,179,3.99,0,0,34,
2023-09-12T03:26:36.000Z,45.05514,-67.10757,-50,0.3,0,0.66,1.08,1.27,12,9,0,3,93,3.989,0,0,33,
2023-09-12T03:41:46.000Z,45.05457,-67.10751,-68,0.13,0,0.66,0.98,1.18,12,9,0,3,0,3.988,0,0,34,
2023-09-12T03:56:56.000Z,45.0549,-67.10766,-41,0.2,0,0.8,1.13,1.39,12,9,0,3,0,3.988,0,0,34,
2023-09-12T04:12:06.000Z,45.05514,-67.1071,-77,0.15,0,0.85,1.2,1.47,12,9,0,3,58,3.988,0,0,34,
2023-09-12T04:27:16.000Z,45.05548,-67.10701,-66,0.11,0,0.92,1.17,1.49,12,9,0,3,0,3.988,0,0,34,
2023-09-12T04:42:25.000Z,45.05514,-67.10672,-40,0.12,0,0.78,0.9,1.19,12,8,0,3,33,3.988,0,0,34,
2023-09-12T04:57:36.000Z,45.05572,-67.10672,-2,0.1,0,1.08,1,1.47,12,10,0,3,0,3.985,0,0,34,
2023-09-12T05:13:37.000Z,45.0556,-67.10654,4,0.04,0,0.82,0.95,1.24,12,60,0,3,817,3.983,0,0,30,
2023-09-12T05:27:45.000Z,45.0556,-67.10654,4,0.07,0,0.85,1.01,1.31,12,7,0,3,11,3.98,0,0,32,
2023-09-12T05:42:53.000Z,45.0556,-67.10656,6,0.02,0,0.88,1.08,1.39,12,7,0,3,2,3.981,0,0,32,
2023-09-12T05:58:01.000Z,45.05567,-67.10661,7,0.08,343,0.84,1.02,1.32,12,7,0,3,7,3.98,0,0,32,
2023-09-12T06:13:10.000Z,45.0556,-67.10658,4,0.02,0,0.83,1.14,1.42,12,8,0,3,4,3.981,0,0,32,
2023-09-12T06:28:18.000Z,45.05558,-67.10653,1,0.03,0,0.63,0.79,1.01,12,7,0,3,0,3.98,0,0,31,
2023-09-12T06:43:27.000Z,45.05557,-67.10653,-1,0.01,0,0.63,0.92,1.11,12,8,0,3,25,3.979,0,0,31,
2023-09-12T06:58:35.000Z,45.05556,-67.1065,4,0.06,0,0.74,1.08,1.31,12,7,0,3,15,3.977,0,0,32,
2023-09-12T07:13:43.000Z,45.05549,-67.10642,23,0.1,0,0.85,1.27,1.53,12,7,0,3,27,3.98,0,0,31,
2023-09-12T07:28:51.000Z,45.05546,-67.10636,22,0.15,0,1.05,1.17,1.45,12,7,0,3,0,3.98,0,0,31,
2023-09-12T07:43:59.000Z,45.05553,-67.1065,9,0.05,0,0.74,1.04,1.28,12,7,0,3,43,3.977,0,0,31,
2023-09-12T07:59:07.000Z,45.0554,-67.10624,46,0.01,0,0.7,0.97,1.2,12,7,0,3,0,3.979,0,0,32,
2023-09-12T08:14:17.000Z,45.05597,-67.1058,14,0.09,0,0.82,1.18,1.44,12,9,0,3,14,3.978,0,0,32,
2023-09-12T08:29:27.000Z,45.05582,-67.1056,61,0.03,0,1.15,1.58,1.96,12,9,0,3,0,3.975,0,0,32,
2023-09-12T08:44:38.000Z,45.05604,-67.10572,-52,0.11,0,0.89,1.19,1.49,12,10,0,3,39,3.975,0,0,32,
2023-09-12T08:59:48.000Z,45.056,-67.10558,28,0.08,0,1.11,1.35,1.75,12,9,0,3,0,3.977,0,0,31,
2023-09-12T09:14:59.000Z,45.05606,-67.10571,-13,0.06,0,0.97,1.3,1.6,12,10,0,3,34,3.978,0,0,31,
2023-09-12T09:30:09.000Z,45.05685,-67.11033,-5,0,0,0.71,1.07,1.29,12,9,0,3,327,3.977,0,0,33,
2023-09-12T09:45:18.000Z,45.05657,-67.1138,-33,16.12,67,0.66,0.95,1.17,12,8,0,3,965,3.977,0.093,0,31,
2023-09-12T10:00:28.000Z,45.05848,-67.1137,-24,0.12,0,0.94,1.1,1.45,12,9,0,3,291,3.977,0.004,0,33,
2023-09-12T10:15:38.000Z,45.05758,-67.11566,-29,0.06,0,0.69,1.05,1.25,12,9,0,3,216,3.978,0.054,0,34,
2023-09-12T10:30:47.000Z,45.05825,-67.11533,-143,0.15,0,0.78,1.33,1.55,12,8,0,3,640,3.977,0.053,0,33,
2023-09-12T10:45:57.000Z,45.05816,-67.11544,-85,0,0,0.6,1.01,1.17,12,9,0,3,77,3.977,0.247,0,35,
2023-09-12T11:01:07.000Z,45.05806,-67.11591,-52,0.04,0,0.62,1.08,1.25,12,9,0,3,6,3.977,0.356,0,35,
2023-09-12T11:16:16.000Z,45.05825,-67.11578,-49,0.05,342,0.63,1.08,1.25,12,8,0,3,30,3.975,0.085,0,35,
2023-09-12T11:31:26.000Z,45.05826,-67.1157,-87,0.02,0,0.75,1.29,1.49,12,9,0,3,22,3.975,0.407,0,36,
2023-09-12T11:46:35.000Z,45.05864,-67.11537,-101,0.02,0,0.71,1.15,1.35,12,8,0,3,143,3.975,0.021,0,35,
2023-09-12T12:01:44.000Z,45.05479,-67.10348,-33,22.44,112,0.66,0.9,1.1,12,8,0,3,552,3.978,1.351,1,34,
2023-09-12T12:16:53.000Z,45.03601,-67.07703,-73,18.94,190,1.11,1.03,1.25,12,8,0,3,4189,3.972,1.632,16,26,
2023-09-12T12:32:03.000Z,45.03081,-67.07322,-91,2.18,148,0.77,1,1.23,12,9,0,3,3526,3.972,1.623,16,27,
2023-09-12T12:47:12.000Z,45.04089,-67.07156,-40,18.48,128,0.68,0.91,1.15,12,8,0,3,2781,3.972,1.751,18,26,
2023-09-12T13:02:22.000Z,45.044,-67.07343,-4,0.46,351,1.15,1.1,1.4,12,9,0,3,2147,3.97,1.746,20,26,
2023-09-12T13:17:32.000Z,45.04662,-67.07382,-10,0.73,0,0.78,0.84,1.14,12,9,0,3,896,3.972,0.793,9,32,
2023-09-12T13:32:42.000Z,45.04837,-67.07393,-9,0.38,0,0.73,0.73,1.03,12,9,0,3,21,3.974,0.354,0,33,
2023-09-12T13:47:51.000Z,45.05063,-67.07713,24,14.03,81,0.85,0.91,1.22,12,8,0,3,2904,3.972,1.866,42,26,
2023-09-12T14:03:02.000Z,45.06895,-67.10062,59,2.74,165,1.01,1.29,1.72,12,10,0,3,3024,3.97,0.159,46,26,
2023-09-12T14:18:12.000Z,45.07924,-67.1042,47,6.26,358,0.73,0.91,1.17,12,9,0,3,1131,3.973,0.308,12,30,
2023-09-12T14:33:22.000Z,45.08327,-67.10838,58,0.12,0,0.83,1.05,1.34,12,9,0,3,1190,3.972,0.244,13,32,
2023-09-12T14:48:32.000Z,45.0745,-67.10493,91,0.15,0,0.78,1.08,1.33,12,9,0,3,614,3.972,0.18,24,32,
2023-09-12T15:03:42.000Z,45.07669,-67.08589,43,18.72,54,0.73,0.96,1.2,12,9,0,3,726,3.973,1.997,27,30,
2023-09-12T15:18:52.000Z,45.08282,-67.0844,29,0.05,0,0.69,0.89,1.11,12,9,0,3,261,3.972,1.616,21,32,
2023-09-12T15:34:01.000Z,45.08157,-67.08495,47,22.95,192,0.73,0.81,1.04,12,8,0,3,158,3.97,1.893,14,34,
2023-09-12T15:49:11.000Z,45.0434,-67.0832,94,25.06,291,0.69,1.05,1.26,12,9,0,3,250,3.975,2.067,147,27,
2023-09-12T16:04:29.000Z,45.05821,-67.11674,32,0.11,0,0.77,1.23,1.49,12,9,0,3,759,3.97,0.264,40,32,
2023-09-12T16:19:39.000Z,45.05796,-67.11678,34,0.18,0,0.79,1.11,1.37,12,9,0,3,0,3.973,0.513,0,36,
2023-09-12T16:34:50.000Z,45.05845,-67.11511,0,0.09,0,0.82,1.29,1.53,12,10,0,3,462,3.972,0.416,14,32,
2023-09-12T16:50:01.000Z,45.05829,-67.11507,40,0.08,0,0.76,1.01,1.26,12,10,0,3,20,3.972,0.592,9,35,
2023-09-12T17:05:12.000Z,45.06162,-67.10559,92,0.05,0,1.03,1.29,1.65,12,10,0,3,659,3.969,1.397,37,31,
2023-09-12T17:20:23.000Z,45.0616,-67.10583,56,0.15,0,1.09,1.46,1.83,12,10,0,3,88,3.973,0.825,15,34,
2023-09-12T17:35:34.000Z,45.0615,-67.10596,60,0.04,0,0.78,1,1.29,12,10,0,3,31,3.972,1.373,5,36,
