Fix Time,Latitude,Longitude,Altitude,Speed,COG (deg),HDOP,VDOP,PDOP,Satellite Count,Time to Fix,Error,Nav. Type,Activity,Battery (V),Charge (V),Solar Current (mA),Temp (C)
2024-01-21T23:48:20.000Z,39.6889,-75.52109,-160,0.12,0,1.18,1.24,1.71,10,16,0,3,9,3.89,0,0,25,
2024-01-22T00:03:42.000Z,39.6887,-75.52094,12,0.04,0,1.36,1.45,1.99,9,21,0,3,0,3.889,0,0,25,
2024-01-22T00:18:56.000Z,39.68843,-75.52068,85,0.02,0,1.03,1.18,1.57,9,13,0,3,0,3.889,0,0,26,
2024-01-22T00:34:10.000Z,39.68857,-75.52105,-32,0.04,0,1.03,1.45,1.89,8,13,0,3,0,3.889,0,0,26,
2024-01-22T00:49:42.000Z,39.68861,-75.52213,176,0.1,0,1.22,1.98,2.31,12,31,0,3,0,3.889,0,0,25,
2024-01-22T01:04:27.000Z,39.68865,-75.52196,111,0.08,0,1.07,1.42,1.78,12,14,0,3,0,3.886,0,0,25,
2024-01-22T01:19:48.000Z,39.68888,-75.52177,-49,0.02,0,1.17,1.83,2.12,11,20,0,3,0,3.885,0,0,25,
2024-01-22T01:35:18.000Z,39.68864,-75.52197,40,0.17,0,0.83,1.51,1.72,12,29,0,3,0,3.885,0,0,26,
2024-01-22T01:50:43.000Z,39.68826,-75.5221,-23,0.38,0,0.86,1.64,1.94,12,24,0,3,0,3.885,0,0,25,
2024-01-22T02:06:22.000Z,39.68867,-75.52171,76,0.09,0,0.81,1.21,1.43,12,38,0,3,20,3.883,0,0,26,
2024-01-22T02:21:05.000Z,39.68858,-75.52183,58,0.03,0,0.78,1.31,1.52,12,12,0,3,0,3.885,0,0,27,
2024-01-22T02:36:17.000Z,39.68869,-75.52197,55,0.06,0,0.79,1.25,1.48,12,11,0,3,0,3.883,0,0,26,
2024-01-22T02:51:29.000Z,39.68863,-75.52185,24,0.06,0,0.9,1.43,1.69,12,11,0,3,0,3.883,0,0,26,
2024-01-22T03:06:39.000Z,39.68851,-75.52218,56,0.13,0,0.88,1.28,1.55,12,9,0,3,3,3.884,0,0,26,
2024-01-22T03:22:03.000Z,39.68852,-75.52185,12,0.07,0,0.94,1.29,1.59,12,23,0,3,0,3.883,0.001,0,25,
2024-01-22T03:37:18.000Z,39.68845,-75.52166,-22,0.18,0,0.8,1.22,1.49,12,14,0,3,149,3.88,0,0,24,
2024-01-22T03:52:30.000Z,39.68861,-75.52209,-5,0.26,0,1.06,1.11,1.38,12,11,0,3,0,3.879,0,0,24,
2024-01-22T04:07:44.000Z,39.68885,-75.52207,7,0.06,0,1,1.17,1.54,12,13,0,3,0,3.879,0,0,24,
2024-01-22T04:22:56.000Z,39.68867,-75.52203,3,0,0,1.38,1.78,2.25,11,11,0,3,0,3.881,0,0,24,
2024-01-22T04:38:07.000Z,39.68897,-75.52218,-14,0.06,0,1.11,1.84,2.18,10,10,0,3,0,3.88,0,0,24,
2024-01-22T04:53:22.000Z,39.6889,-75.52201,-21,0.06,0,1.11,1.26,1.68,12,14,0,3,0,3.88,0,0,24,
2024-01-22T05:08:44.000Z,39.68887,-75.52203,-67,0.13,0,0.92,1.03,1.4,12,21,0,3,0,3.878,0,0,24,
2024-01-22T05:24:03.000Z,39.68938,-75.52206,-53,0.09,0,1.13,1.67,2.02,11,18,0,3,0,3.878,0,0,24,
2024-01-22T05:39:19.000Z,39.68907,-75.52207,-67,0.13,0,0.98,1.09,1.45,11,15,0,3,0,3.879,0,0,24,
2024-01-22T05:54:36.000Z,39.68914,-75.52228,-22,0.07,0,1.08,1.4,1.77,10,16,0,3,0,3.876,0,0,24,
2024-01-22T06:10:06.000Z,39.68909,-75.52193,-46,0.03,0,1.05,1.28,1.66,12,29,0,3,26,3.876,0,0,24,
2024-01-22T06:25:22.000Z,39.68905,-75.52189,-59,0.09,0,1.14,1.36,1.78,12,15,0,3,129,3.875,0,0,22,
2024-01-22T06:40:41.000Z,39.68884,-75.52213,-5,0.26,0,0.89,1.19,1.54,10,18,0,3,0,3.876,0,0,22,
2024-01-22T06:56:01.000Z,39.68906,-75.52206,-37,0.06,0,1.35,1.52,2.02,10,19,0,3,0,3.874,0,0,23,
2024-01-22T07:11:18.000Z,39.68973,-75.52216,-4,0.2,0,1.98,1.67,2.59,9,16,0,3,0,3.874,0,0,23,
2024-01-22T07:26:34.000Z,39.68858,-75.52177,-53,0.08,0,1.35,2.71,3.02,8,15,0,3,84,3.875,0,0,25,
2024-01-22T07:42:04.000Z,39.68891,-75.52123,-80,0.12,0,1.08,1.59,1.93,8,29,0,3,0,3.873,0,0,26,
2024-01-22T07:57:16.000Z,39.68875,-75.52184,1,0.26,0,1.17,1.61,1.99,8,11,0,3,0,3.874,0,0,26,
2024-01-22T08:12:28.000Z,39.68893,-75.52206,27,0.04,0,1.47,1.45,2.06,8,11,0,3,5,3.873,0,0,26,
2024-01-22T08:27:41.000Z,39.68889,-75.52193,64,0.22,0,1.33,1.43,1.95,8,12,0,3,0,3.872,0,0,26,
2024-01-22T08:42:54.000Z,39.68885,-75.52215,21,0.1,0,1.05,1.37,1.73,9,12,0,3,0,3.872,0,0,25,
2024-01-22T08:58:11.000Z,39.6888,-75.52177,37,0.19,0,1.01,1.38,1.71,9,16,0,3,0,3.874,0,0,25,
2024-01-22T09:13:44.000Z,39.68867,-75.5223,41,0.08,0,1.33,2.02,2.29,9,32,0,3,44,3.872,0,0,25,
2024-01-22T09:28:28.000Z,39.68898,-75.52203,-24,0.1,0,1.45,2.06,2.52,9,13,0,3,0,3.868,0,0,26,
2024-01-22T09:43:40.000Z,39.68905,-75.52195,-56,0.09,0,1.49,2.6,3,10,11,0,3,0,3.869,0,0,26,
2024-01-22T09:58:51.000Z,39.68882,-75.52223,11,0.04,0,0.96,1.6,1.87,12,10,0,3,0,3.869,0,0,25,
2024-01-22T10:14:05.000Z,39.68868,-75.52215,-26,0.05,0,0.97,1.47,1.76,12,13,0,3,0,3.869,0,0,25,
2024-01-22T10:29:21.000Z,39.68924,-75.5221,70,0.03,0,0.94,1.58,1.84,12,15,0,3,0,3.87,0,0,25,
2024-01-22T10:44:48.000Z,39.68882,-75.52213,41,0.07,0,0.95,1.29,1.6,12,26,0,3,0,3.868,0,0,26,
2024-01-22T11:00:00.000Z,39.68901,-75.52192,6,0.04,0,1.03,1.49,1.8,12,11,0,3,0,3.868,0,0,26,
2024-01-22T11:15:14.000Z,39.6889,-75.52218,25,0.17,0,2.42,2.76,3.68,12,13,0,3,57,3.865,0,0,25,
2024-01-22T11:30:30.000Z,39.68908,-75.52186,-13,0.04,0,1,1.56,1.87,12,15,0,3,4,3.865,0.001,0,24,
2024-01-22T11:45:48.000Z,39.68964,-75.52146,-96,0,0,1.04,1.73,2.02,12,17,0,3,4,3.864,0.004,0,24,
2024-01-22T12:01:30.000Z,39.70728,-75.51169,-11,1.95,28,0.88,1.31,1.61,12,41,0,3,144,3.865,0.045,0,21,
2024-01-22T12:16:09.000Z,39.72041,-75.51159,31,17.09,59,0.79,1.09,1.33,12,8,0,3,2286,3.859,1.511,0,13,
2024-01-22T12:31:18.000Z,39.72203,-75.5127,40,0.05,0,1.11,1.06,1.38,12,8,0,3,1447,3.859,0.56,9,14,
2024-01-22T12:46:28.000Z,39.72206,-75.51266,31,0.11,0,1,1.13,1.36,12,9,0,3,19,3.863,1.594,1,21,
2024-01-22T13:01:38.000Z,39.72212,-75.51264,22,0.04,0,0.95,1.26,1.58,12,9,0,3,14,3.863,1.381,6,23,
2024-01-22T13:16:52.000Z,39.7203,-75.51158,31,8.6,272,0.77,1.37,1.72,12,13,0,3,591,3.864,1.524,42,20,
2024-01-22T13:32:04.000Z,39.7221,-75.51269,102,0.2,0,1.04,1.62,1.92,12,11,0,3,205,3.864,1.535,20,22,
2024-01-22T13:47:16.000Z,39.72223,-75.51283,72,0.03,0,1.08,1.17,1.6,12,11,0,3,11,3.865,1.752,36,28,
2024-01-22T14:02:26.000Z,39.72237,-75.51286,61,0.08,0,0.91,1.23,1.49,12,9,0,3,2,3.865,1.241,50,30,
2024-01-22T14:17:39.000Z,39.72251,-75.51206,143,0.02,0,0.88,1.17,1.47,12,12,0,3,0,3.867,0.76,1,30,
2024-01-22T14:33:06.000Z,39.72074,-75.51101,52,0.02,0,0.91,1.28,1.56,12,26,0,3,77,3.865,1.242,1,27,
2024-01-22T14:48:16.000Z,39.72273,-75.51189,51,0.05,0,0.9,1.57,1.81,11,9,0,3,1796,3.865,1.317,146,19,
2024-01-22T15:03:25.000Z,39.72275,-75.51188,35,0.05,0,0.88,1.54,1.77,11,8,0,3,12,3.865,0.893,9,23,
2024-01-22T15:18:36.000Z,39.72271,-75.51174,52,0.04,0,1.21,1.66,2.04,12,10,0,3,0,3.865,1.168,0,28,
2024-01-22T15:33:47.000Z,39.72268,-75.51182,12,0.09,0,0.9,1.19,1.49,11,10,0,3,10,3.865,1.307,1,28,
2024-01-22T15:48:58.000Z,39.7227,-75.51182,42,0.05,0,1.27,1.46,1.94,11,10,0,3,0,3.867,1.424,0,30,
2024-01-22T16:04:21.000Z,39.72235,-75.51196,36,0.03,172,1.52,2.48,2.92,12,9,0,3,46,3.861,1.451,5,31,
2024-01-22T16:19:33.000Z,39.72278,-75.51229,19,0.08,0,1.01,1.42,1.75,12,11,0,3,0,3.863,1.104,0,29,
2024-01-22T16:34:43.000Z,39.72286,-75.51135,52,0.05,0,0.87,1.22,1.5,12,9,0,3,117,3.862,1.519,2,27,
2024-01-22T16:49:53.000Z,39.72308,-75.51148,26,0.06,0,0.8,1.1,1.39,12,9,0,3,0,3.861,1.536,3,26,
2024-01-22T17:05:06.000Z,39.72285,-75.51101,120,0.06,0,0.91,1.51,1.77,12,12,0,3,0,3.862,1.032,2,27,
2024-01-22T17:20:20.000Z,39.72282,-75.51112,92,0.11,0,0.78,1.41,1.61,12,13,0,3,0,3.861,1.141,1,29,
2024-01-22T17:35:36.000Z,39.72271,-75.51106,88,0.09,0,0.96,1.96,2.18,11,15,0,3,9,3.861,0.856,3,28,
2024-01-22T17:50:53.000Z,39.721,-75.51092,54,0.18,0,0.79,1.6,1.79,12,16,0,3,41,3.861,1.016,6,28,
2024-01-22T18:06:30.000Z,39.72115,-75.51085,-1,0.04,0,1.12,3.28,3.46,12,36,0,3,6,3.859,0.989,1,28,
2024-01-22T18:21:10.000Z,39.72339,-75.51214,39,0.07,0,0.71,1.18,1.39,12,9,0,3,628,3.859,1.256,84,23,
2024-01-22T18:36:19.000Z,39.72336,-75.51208,34,0.16,0,0.77,1.41,1.73,12,8,0,3,3,3.859,1.324,10,26,
